Timestamp,Source_IP,Dest_IP,Protocol,Port,Size
2025-11-21 15:32:54.799274,192.168.1.85,192.168.1.1,TCP,28554,1494
2025-11-21 15:32:54.799308,192.168.1.90,192.168.1.1,TCP,25621,1027
2025-11-21 15:32:54.799317,192.168.1.65,192.168.1.1,TCP,24639,1264
2025-11-21 15:32:54.799324,192.168.1.148,192.168.1.1,UDP,55260,549
2025-11-21 15:32:54.799335,192.168.1.156,192.168.1.1,UDP,11221,1236
2025-11-21 15:32:54.799341,192.168.1.108,192.168.1.1,UDP,30222,727
2025-11-21 15:32:54.799347,192.168.1.154,192.168.1.1,TCP,35331,706
2025-11-21 15:32:54.799352,192.168.1.185,192.168.1.1,UDP,26186,262
2025-11-21 15:32:54.799357,192.168.1.152,192.168.1.1,TCP,41243,1405
2025-11-21 15:32:54.799363,192.0.2.15,192.168.1.1,UDP,80,13
2025-11-21 15:32:54.799368,192.0.2.1,192.168.1.1,UDP,80,41
2025-11-21 15:32:54.799374,192.168.1.105,192.168.1.1,TCP,6988,1157
2025-11-21 15:32:54.799379,192.168.1.69,192.168.1.1,TCP,56996,724
2025-11-21 15:32:54.799384,192.168.1.154,192.168.1.1,TCP,39869,1172
2025-11-21 15:32:54.799389,192.168.1.114,192.168.1.1,TCP,2608,1274
2025-11-21 15:32:54.799394,192.168.1.56,192.168.1.1,TCP,64233,1034
2025-11-21 15:32:54.799398,192.168.1.132,192.168.1.1,UDP,56630,1326
2025-11-21 15:32:54.799404,192.168.1.178,192.168.1.1,UDP,17282,741
2025-11-21 15:32:54.799412,192.168.1.131,192.168.1.1,TCP,64662,1082
2025-11-21 15:32:54.799417,192.168.1.199,192.168.1.1,UDP,33455,1486
2025-11-21 15:32:54.799422,192.168.1.143,192.168.1.1,UDP,49787,1383
2025-11-21 15:32:54.799429,192.168.1.104,192.168.1.1,TCP,6741,534
2025-11-21 15:32:54.799434,192.168.1.174,192.168.1.1,TCP,38592,736
2025-11-21 15:32:54.799439,192.168.1.84,192.168.1.1,TCP,20717,997
2025-11-21 15:32:54.799443,203.0.113.120,192.168.1.1,TCP,80,32
2025-11-21 15:32:54.799448,192.168.1.70,192.168.1.1,TCP,46415,337
2025-11-21 15:32:54.799453,192.168.1.190,192.168.1.1,TCP,44361,344
2025-11-21 15:32:54.799458,192.168.1.156,192.168.1.1,UDP,44749,343
2025-11-21 15:32:54.799463,192.0.2.15,192.168.1.1,TCP,80,34
2025-11-21 15:32:54.799468,192.168.1.97,192.168.1.1,UDP,44365,929
2025-11-21 15:32:54.799473,192.168.1.170,192.168.1.1,TCP,13007,224
2025-11-21 15:32:54.799478,192.168.1.103,192.168.1.1,UDP,62085,321
2025-11-21 15:32:54.799484,192.168.1.159,192.168.1.1,TCP,14203,1452
2025-11-21 15:32:54.799489,192.168.1.77,192.168.1.1,UDP,26944,314
2025-11-21 15:32:54.799494,192.168.1.98,192.168.1.1,TCP,57702,457
2025-11-21 15:32:54.799498,192.168.1.149,192.168.1.1,TCP,30185,1333
2025-11-21 15:32:54.799503,192.168.1.169,192.168.1.1,TCP,63621,883
2025-11-21 15:32:54.799508,192.168.1.199,192.168.1.1,TCP,61820,1351
2025-11-21 15:32:54.799512,192.168.1.180,192.168.1.1,TCP,28939,287
2025-11-21 15:32:54.799517,192.0.2.15,192.168.1.1,TCP,80,12
2025-11-21 15:32:54.799522,192.168.1.162,192.168.1.1,UDP,3001,1356
2025-11-21 15:32:54.799526,192.0.2.20,192.168.1.1,TCP,80,38
2025-11-21 15:32:54.799531,192.168.1.117,192.168.1.1,UDP,36910,797
2025-11-21 15:32:54.799536,192.168.1.83,192.168.1.1,UDP,24690,1160
2025-11-21 15:32:54.799541,192.168.1.78,192.168.1.1,UDP,10329,173
2025-11-21 15:32:54.799546,192.168.1.146,192.168.1.1,TCP,44341,992
2025-11-21 15:32:54.799551,192.168.1.133,192.168.1.1,TCP,1779,771
2025-11-21 15:32:54.799555,192.168.1.111,192.168.1.1,TCP,4630,1201
2025-11-21 15:32:54.799560,192.168.1.168,192.168.1.1,TCP,45394,715
2025-11-21 15:32:54.799564,192.168.1.171,192.168.1.1,UDP,3009,586
2025-11-21 15:32:54.799569,192.168.1.183,192.168.1.1,UDP,51032,919
2025-11-21 15:32:54.799574,192.168.1.151,192.168.1.1,TCP,11138,1210
2025-11-21 15:32:54.799579,192.168.1.110,192.168.1.1,TCP,26259,1375
2025-11-21 15:32:54.799583,192.168.1.88,192.168.1.1,UDP,9455,1372
2025-11-21 15:32:54.799589,192.168.1.83,192.168.1.1,TCP,58125,421
2025-11-21 15:32:54.799593,192.168.1.200,192.168.1.1,TCP,23026,997
2025-11-21 15:32:54.799599,192.168.1.64,192.168.1.1,UDP,15452,831
2025-11-21 15:32:54.799604,192.168.1.109,192.168.1.1,UDP,14063,108
2025-11-21 15:32:54.799609,192.168.1.152,192.168.1.1,UDP,5280,1340
2025-11-21 15:32:54.799614,192.168.1.134,192.168.1.1,TCP,56023,1416
2025-11-21 15:32:54.799619,192.168.1.188,192.168.1.1,TCP,8511,383
2025-11-21 15:32:54.799623,192.168.1.112,192.168.1.1,UDP,39999,602
2025-11-21 15:32:54.799629,192.168.1.78,192.168.1.1,TCP,64253,639
2025-11-21 15:32:54.799634,192.168.1.59,192.168.1.1,UDP,19337,467
2025-11-21 15:32:54.799639,203.0.113.120,192.168.1.1,TCP,80,46
2025-11-21 15:32:54.799643,192.0.2.20,192.168.1.1,TCP,80,17
2025-11-21 15:32:54.799648,192.0.2.15,192.168.1.1,UDP,80,13
2025-11-21 15:32:54.799653,192.168.1.174,192.168.1.1,TCP,7780,178
2025-11-21 15:32:54.799658,198.18.0.40,192.168.1.1,TCP,80,48
2025-11-21 15:32:54.799662,192.168.1.174,192.168.1.1,UDP,62332,613
2025-11-21 15:32:54.799667,192.168.1.189,192.168.1.1,TCP,14699,1206
2025-11-21 15:32:54.799672,192.168.1.53,192.168.1.1,UDP,59514,419
2025-11-21 15:32:54.799677,192.168.1.153,192.168.1.1,TCP,52422,943
2025-11-21 15:32:54.799681,192.168.1.90,192.168.1.1,TCP,49586,1430
2025-11-21 15:32:54.799687,192.168.1.179,192.168.1.1,TCP,49794,666
2025-11-21 15:32:54.799691,192.168.1.191,192.168.1.1,TCP,16412,202
2025-11-21 15:32:54.799698,192.168.1.130,192.168.1.1,TCP,50105,610
2025-11-21 15:32:54.799703,192.168.1.157,192.168.1.1,TCP,37903,748
2025-11-21 15:32:54.799708,192.168.1.140,192.168.1.1,UDP,32268,1364
2025-11-21 15:32:54.799717,192.168.1.128,192.168.1.1,UDP,22097,862
2025-11-21 15:32:54.799722,192.168.1.190,192.168.1.1,TCP,14942,1254
2025-11-21 15:32:54.799727,192.168.1.57,192.168.1.1,TCP,31524,1086
2025-11-21 15:32:54.799732,192.168.1.85,192.168.1.1,UDP,38450,1012
2025-11-21 15:32:54.799738,192.168.1.147,192.168.1.1,UDP,47649,432
2025-11-21 15:32:54.799742,192.0.2.20,192.168.1.1,UDP,80,15
2025-11-21 15:32:54.799747,192.168.1.125,192.168.1.1,TCP,48075,492
2025-11-21 15:32:54.799752,192.168.1.158,192.168.1.1,TCP,44984,1440
2025-11-21 15:32:54.799757,192.168.1.119,192.168.1.1,TCP,20621,583
2025-11-21 15:32:54.799761,198.18.0.30,192.168.1.1,TCP,80,16
2025-11-21 15:32:54.799766,192.168.1.168,192.168.1.1,TCP,53638,786
2025-11-21 15:32:54.799771,192.168.1.166,192.168.1.1,UDP,21418,405
2025-11-21 15:32:54.799775,192.168.1.189,192.168.1.1,UDP,7859,1316
2025-11-21 15:32:54.799780,192.168.1.156,192.168.1.1,UDP,18549,1226
2025-11-21 15:32:54.799785,192.168.1.75,192.168.1.1,UDP,5158,566
2025-11-21 15:32:54.799790,192.168.1.198,192.168.1.1,UDP,24291,264
2025-11-21 15:32:54.799795,192.168.1.178,192.168.1.1,UDP,60965,996
2025-11-21 15:32:54.799800,192.168.1.94,192.168.1.1,TCP,31035,489
